created_at,user_id,topic_id,stemmed_message
2023-11-02,23,2,imgv senang otak suka beranganangan hehehehehehehehehehehehehehehehehehehehehehehehe
2023-11-02,83,2,jam 2 malam siang tidur alhamdulillah selesai hambat ya sih tidur pagi terimakasih imgv
2023-11-02,4,2,tugas cari asprak ngeluh aktivitas favorit asprak banget bantu sulit nekoneko sulit asistensi best banget pokok kating kating
2023-11-02,73,2,materi bab 2 coloring texturing sulit suka bab coloring texturing kreasi tentu warna karya bingung proses coloring texturing tutorial implementasi warna textur karya
2023-11-02,48,2,materi bab2 coloringtexturing mudah cepat paham bab1 bab1 kenal blender
2023-11-02,46,2,ajar materi tau buat media ajar 3d kerja rumit butuh revisi
2023-11-02,76,2,bab 2 coloring takut susah alhamdulilah susah bab 1 modelling asistensi nya alhamdulilah lancar
2023-11-02,91,1,suka mata kuliah motivasi ajar 3 dimensi suka tekan kejar singkat mula saran untu asprak mudah asistensi bimbing revisi
2023-11-02,52,2,alhamdulillah trial ping piro akhire finish kuis moga mudah bab 8 amin sehat sehat yer
2023-11-02,98,2,bab 2 senang panik dikit gara gara warna blender eh pencet hehe
2023-11-02,68,2,harap bab bab gampang kayak hehehehe degdegan takut eh puji mbak asprak nya heheheh terimakasih mbak
2023-11-02,100,1,pertamakali pakai aplikasi blender lumayan atas objek objek bangun rumah sulit pilih type contruction model
2023-11-02,100,0,aplikasi blender objek 3d bangun rumah pemebalajaran smk arsitektur mata ajar desaian model informasi beli 3 kertas prc mahal ajar
2023-11-02,66,2,alam kerja tugas imgv 3d kenal aplikasi blender ya susah faham sulit semangat coba banget sih
2023-11-02,70,2,coloring mudah senang tarik senang mata kuliah inovasi media gravis visual
2023-11-02,104,1,sebelumya milik alam ajar aplikasi blender sulit aplikasi nya bingung ajar ajar aplikasi sistem blender 3d
2023-11-02,105,1,aplikasi blender tugas ajar 3d aplikasi blender ajar guna
2023-11-02,89,2,bab 2 coloring lumayan mudah texturing sulit paham sepenuh toolstools blender
2023-11-02,65,2,alam ku bab 2 susah coloring kadang saat masuk warna produk warna masuk produk texturing
2023-11-02,71,2,bab 2 ajar coloring toturial youtube teman operasi blender bab 2 kali paham terus produk asistensi demonstrasi bab coloring kali terkadang lupa tools operasi gradient
2023-11-02,106,1,ajar 3d butuh teliti sabar selesai tugas selesai nya
2023-11-02,30,2,ngerjain bab 2 susah banget coloring warna gradasi noise mantengin laptop pagi pagi
2023-11-02,20,2,bab coloring warna tekstur objek suka aplikasi material image texture sesuai uv editing
2023-11-02,62,2,materi milik isi lengkap mudah ajar asisten praktik masuk sopan hubung
